Bulan;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Bgt.;Kg Bgt.;BJR Akt.;BJR Bgt.;Ton/ha Akt.;Ton/ha Bgt.;% Cap.;Gap Ton/Ha;Gap %
SEP;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;35564;621875;#DIV/0!;17,49;0,00;1,25;0,00;-1,25;100,00
SEP;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;237041;3467442;#DIV/0!;14,63;0,00;2,07;0,00;-2,07;100,00
SEP;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;233598;3518671;#DIV/0!;15,06;0,00;2,02;0,00;-2,02;100,00
SEP;FFD Plasma;BB1;BB1;612,27;80089;0;0;86939;1306929;#DIV/0!;15,03;0,00;2,13;0,00;-2,13;100,00
SEP;FFD Plasma;BB2A;BB2-A;39,80;5361;0;0;6014;84959;#DIV/0!;14,13;0,00;2,13;0,00;-2,13;100,00
SEP;FFD Plasma;BB2B;BB2-B;442,00;59052;0;0;66924;948266;#DIV/0!;14,17;0,00;2,15;0,00;-2,15;100,00
SEP;FFD Plasma;BB3;BB3;14,00;1971;0;0;1639;29050;#DIV/0!;17,72;0,00;2,07;0,00;-2,07;100,00
SEP;FFD Plasma;BB4;BB4;324,10;43877;0;0;48553;699409;#DIV/0!;14,41;0,00;2,16;0,00;-2,16;100,00
SEP;FFD Plasma;BB5;BB5;145,15;19235;0;0;24508;313233;#DIV/0!;12,78;0,00;2,16;0,00;-2,16;100,00
SEP;FFD Plasma;JB1;JB1;521,80;68870;0;0;72896;1085976;#DIV/0!;14,90;0,00;2,08;0,00;-2,08;100,00
SEP;FFD Plasma;JB2;JB2;265,82;38182;0;0;41669;571921;#DIV/0!;13,73;0,00;2,15;0,00;-2,15;100,00
SEP;FFD Plasma;JB3;JB3;277,60;38497;0;0;46248;599061;#DIV/0!;12,95;0,00;2,16;0,00;-2,16;100,00
SEP;FFD Plasma;SR;SR;199,90;27072;0;0;29969;430690;#DIV/0!;14,37;0,00;2,15;0,00;-2,15;100,00
OKT;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;0;0;143387;2349165;#DIV/0!;16,38;0,00;1,62;0,00;-1,62;100,00
OKT;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;0;0;153914;2574440;#DIV/0!;16,73;0,00;1,72;0,00;-1,72;100,00
OKT;SC Inti;SC Inti;AFD6;393,60;51701;0;0;59351;777752;#DIV/0!;13,10;0,00;1,98;0,00;-1,98;100,00
OKT;Setarap;Setarap;AFD-8;388,20;51154;0;0;55439;767083;#DIV/0!;13,84;0,00;1,98;0,00;-1,98;100,00
OKT;SC Plasma;SC Plasma;AFD-7;196,30;26164;0;0;31145;387889;#DIV/0!;12,45;0,00;1,98;0,00;-1,98;100,00
OKT;BKB Plasma;SK1;SK1;187,50;24615;0;0;12158;199500;#DIV/0!;16,41;0,00;1,06;0,00;-1,06;100,00
OKT;BKB Plasma;SK2;SK2;158,00;20822;0;0;8816;172074;#DIV/0!;19,52;0,00;1,09;0,00;-1,09;100,00
OKT;BKB Plasma;SKA;SKA;233,00;30330;0;0;14735;270980;#DIV/0!;18,39;0,00;1,16;0,00;-1,16;100,00
OKT;BKB Plasma;SKB;SKB;321,00;43821;0;0;29954;390337;#DIV/0!;13,03;0,00;1,22;0,00;-1,22;100,00
OKT;BKB Plasma;SKC;SKC;55,00;7285;0;0;3515;66880;#DIV/0!;19,03;0,00;1,22;0,00;-1,22;100,00
OKT;BKB Plasma;SBB;SBB;1158,50;156587;0;0;83033;1266440;#DIV/0!;15,25;0,00;1,09;0,00;-1,09;100,00
OKT;BKB Plasma;SMM;SMM;982,75;130420;0;0;73935;1052585;#DIV/0!;14,24;0,00;1,07;0,00;-1,07;100,00
OKT;BKB Plasma;TGS;TGS;416,00;54374;0;0;34952;458411;#DIV/0!;13,12;0,00;1,10;0,00;-1,10;100,00
OKT;BKB Plasma;WRJ;WRJ;1051,40;140849;0;0;91782;1156001;#DIV/0!;12,60;0,00;1,10;0,00;-1,10;100,00
OKT;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;52654;911635;#DIV/0!;17,31;0,00;1,14;0,00;-1,14;100,00
OKT;BKB Plasma 1;SBU;SBU;29,10;4020;0;0;2351;37597;#DIV/0!;15,99;0,00;1,29;0,00;-1,29;100,00
OKT;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;8275;143968;#DIV/0!;17,40;0,00;1,29;0,00;-1,29;100,00
OKT;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;32564;569428;#DIV/0!;17,49;0,00;1,15;0,00;-1,15;100,00
OKT;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;217049;3175007;#DIV/0!;14,63;0,00;1,89;0,00;-1,89;100,00
OKT;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;213897;3221916;#DIV/0!;15,06;0,00;1,85;0,00;-1,85;100,00
OKT;FFD Plasma;BB1;BB1;612,27;80089;0;0;79607;1196706;#DIV/0!;15,03;0,00;1,95;0,00;-1,95;100,00
OKT;FFD Plasma;BB2A;BB2-A;39,80;5361;0;0;5507;77794;#DIV/0!;14,13;0,00;1,95;0,00;-1,95;100,00
OKT;FFD Plasma;BB2B;BB2-B;442,00;59052;0;0;61280;868292;#DIV/0!;14,17;0,00;1,96;0,00;-1,96;100,00
OKT;FFD Plasma;BB3;BB3;14,00;1971;0;0;1501;26600;#DIV/0!;17,72;0,00;1,90;0,00;-1,90;100,00
OKT;FFD Plasma;BB4;BB4;324,10;43877;0;0;44458;640422;#DIV/0!;14,41;0,00;1,98;0,00;-1,98;100,00
OKT;FFD Plasma;BB5;BB5;145,15;19235;0;0;22441;286816;#DIV/0!;12,78;0,00;1,98;0,00;-1,98;100,00
OKT;FFD Plasma;JB1;JB1;521,80;68870;0;0;66748;994387;#DIV/0!;14,90;0,00;1,91;0,00;-1,91;100,00
OKT;FFD Plasma;JB2;JB2;265,82;38182;0;0;38155;523687;#DIV/0!;13,73;0,00;1,97;0,00;-1,97;100,00
OKT;FFD Plasma;JB3;JB3;277,60;38497;0;0;42348;548538;#DIV/0!;12,95;0,00;1,98;0,00;-1,98;100,00
OKT;FFD Plasma;SR;SR;199,90;27072;0;0;27441;394367;#DIV/0!;14,37;0,00;1,97;0,00;-1,97;100,00
NOV;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;0;0;175461;2874637;#DIV/0!;16,38;0,00;1,98;0,00;-1,98;100,00
NOV;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;0;0;188342;3150302;#DIV/0!;16,73;0,00;2,11;0,00;-2,11;100,00
NOV;SC Inti;SC Inti;AFD6;393,60;51701;0;0;72627;951723;#DIV/0!;13,10;0,00;2,42;0,00;-2,42;100,00
NOV;Setarap;Setarap;AFD-8;388,20;51154;0;0;67840;938668;#DIV/0!;13,84;0,00;2,42;0,00;-2,42;100,00
NOV;SC Plasma;SC Plasma;AFD-7;196,30;26164;0;0;38111;474653;#DIV/0!;12,45;0,00;2,42;0,00;-2,42;100,00
NOV;BKB Plasma;SK1;SK1;187,50;24615;0;0;14878;244125;#DIV/0!;16,41;0,00;1,30;0,00;-1,30;100,00
NOV;BKB Plasma;SK2;SK2;158,00;20822;0;0;10789;210565;#DIV/0!;19,52;0,00;1,33;0,00;-1,33;100,00
NOV;BKB Plasma;SKA;SKA;233,00;30330;0;0;18032;331593;#DIV/0!;18,39;0,00;1,42;0,00;-1,42;100,00
NOV;BKB Plasma;SKB;SKB;321,00;43821;0;0;36655;477649;#DIV/0!;13,03;0,00;1,49;0,00;-1,49;100,00
NOV;BKB Plasma;SKC;SKC;55,00;7285;0;0;4302;81840;#DIV/0!;19,03;0,00;1,49;0,00;-1,49;100,00
NOV;BKB Plasma;SBB;SBB;1158,50;156587;0;0;101606;1549723;#DIV/0!;15,25;0,00;1,34;0,00;-1,34;100,00
NOV;BKB Plasma;SMM;SMM;982,75;130420;0;0;90473;1288032;#DIV/0!;14,24;0,00;1,31;0,00;-1,31;100,00
NOV;BKB Plasma;TGS;TGS;416,00;54374;0;0;42770;560950;#DIV/0!;13,12;0,00;1,35;0,00;-1,35;100,00
NOV;BKB Plasma;WRJ;WRJ;1051,40;140849;0;0;112313;1414581;#DIV/0!;12,60;0,00;1,35;0,00;-1,35;100,00
NOV;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;64432;1115554;#DIV/0!;17,31;0,00;1,40;0,00;-1,40;100,00
NOV;BKB Plasma 1;SBU;SBU;29,10;4020;0;0;2877;46007;#DIV/0!;15,99;0,00;1,58;0,00;-1,58;100,00
NOV;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;10126;176171;#DIV/0!;17,40;0,00;1,58;0,00;-1,58;100,00
NOV;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;39849;696800;#DIV/0!;17,49;0,00;1,41;0,00;-1,41;100,00
NOV;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;265600;3885206;#DIV/0!;14,63;0,00;2,32;0,00;-2,32;100,00
NOV;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;261743;3942607;#DIV/0!;15,06;0,00;2,26;0,00;-2,26;100,00
NOV;FFD Plasma;BB1;BB1;612,27;80089;0;0;97414;1464390;#DIV/0!;15,03;0,00;2,39;0,00;-2,39;100,00
NOV;FFD Plasma;BB2A;BB2-A;39,80;5361;0;0;6739;95195;#DIV/0!;14,13;0,00;2,39;0,00;-2,39;100,00
NOV;FFD Plasma;BB2B;BB2-B;442,00;59052;0;0;74987;1062515;#DIV/0!;14,17;0,00;2,40;0,00;-2,40;100,00
NOV;FFD Plasma;BB3;BB3;14,00;1971;0;0;1837;32550;#DIV/0!;17,72;0,00;2,32;0,00;-2,32;100,00
NOV;FFD Plasma;BB4;BB4;324,10;43877;0;0;54403;783675;#DIV/0!;14,41;0,00;2,42;0,00;-2,42;100,00
NOV;FFD Plasma;BB5;BB5;145,15;19235;0;0;27461;350972;#DIV/0!;12,78;0,00;2,42;0,00;-2,42;100,00
NOV;FFD Plasma;JB1;JB1;521,80;68870;0;0;81679;1216816;#DIV/0!;14,90;0,00;2,33;0,00;-2,33;100,00
NOV;FFD Plasma;JB2;JB2;265,82;38182;0;0;46690;640827;#DIV/0!;13,73;0,00;2,41;0,00;-2,41;100,00
NOV;FFD Plasma;JB3;JB3;277,60;38497;0;0;51820;671237;#DIV/0!;12,95;0,00;2,42;0,00;-2,42;100,00
NOV;FFD Plasma;SR;SR;199,90;27072;0;0;33579;482581;#DIV/0!;14,37;0,00;2,41;0,00;-2,41;100,00
DES;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;0;0;188668;3091007;#DIV/0!;16,38;0,00;2,13;0,00;-2,13;100,00
DES;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;0;0;202519;3387421;#DIV/0!;16,73;0,00;2,26;0,00;-2,26;100,00
DES;SC Inti;SC Inti;AFD6;393,60;51701;0;0;78093;1023358;#DIV/0!;13,10;0,00;2,60;0,00;-2,60;100,00
DES;Setarap;Setarap;AFD-8;388,20;51154;0;0;72946;1009320;#DIV/0!;13,84;0,00;2,60;0,00;-2,60;100,00
DES;SC Plasma;SC Plasma;AFD-7;196,30;26164;0;0;40980;510380;#DIV/0!;12,45;0,00;2,60;0,00;-2,60;100,00
DES;BKB Plasma;SK1;SK1;187,50;24615;0;0;15997;262500;#DIV/0!;16,41;0,00;1,40;0,00;-1,40;100,00
DES;BKB Plasma;SK2;SK2;158,00;20822;0;0;11601;226414;#DIV/0!;19,52;0,00;1,43;0,00;-1,43;100,00
DES;BKB Plasma;SKA;SKA;233,00;30330;0;0;19389;356552;#DIV/0!;18,39;0,00;1,53;0,00;-1,53;100,00
DES;BKB Plasma;SKB;SKB;321,00;43821;0;0;39414;513601;#DIV/0!;13,03;0,00;1,60;0,00;-1,60;100,00
DES;BKB Plasma;SKC;SKC;55,00;7285;0;0;4625;88000;#DIV/0!;19,03;0,00;1,60;0,00;-1,60;100,00
DES;BKB Plasma;SBB;SBB;1158,50;156587;0;0;109254;1666368;#DIV/0!;15,25;0,00;1,44;0,00;-1,44;100,00
DES;BKB Plasma;SMM;SMM;982,75;130420;0;0;97282;1384981;#DIV/0!;14,24;0,00;1,41;0,00;-1,41;100,00
DES;BKB Plasma;TGS;TGS;416,00;54374;0;0;45989;603172;#DIV/0!;13,12;0,00;1,45;0,00;-1,45;100,00
DES;BKB Plasma;WRJ;WRJ;1051,40;140849;0;0;120766;1521054;#DIV/0!;12,60;0,00;1,45;0,00;-1,45;100,00
DES;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;69282;1199520;#DIV/0!;17,31;0,00;1,50;0,00;-1,50;100,00
DES;BKB Plasma 1;SBU;SBU;29,10;4020;0;0;3094;49470;#DIV/0!;15,99;0,00;1,70;0,00;-1,70;100,00
DES;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;10888;189431;#DIV/0!;17,40;0,00;1,70;0,00;-1,70;100,00
DES;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;42848;749247;#DIV/0!;17,49;0,00;1,51;0,00;-1,51;100,00
DES;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;285591;4177641;#DIV/0!;14,63;0,00;2,49;0,00;-2,49;100,00
DES;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;281444;4239363;#DIV/0!;15,06;0,00;2,43;0,00;-2,43;100,00
DES;FFD Plasma;BB1;BB1;612,27;80089;0;0;104746;1574613;#DIV/0!;15,03;0,00;2,57;0,00;-2,57;100,00
DES;FFD Plasma;BB2A;BB2-A;39,80;5361;0;0;7246;102360;#DIV/0!;14,13;0,00;2,57;0,00;-2,57;100,00
DES;FFD Plasma;BB2B;BB2-B;442,00;59052;0;0;80631;1142489;#DIV/0!;14,17;0,00;2,58;0,00;-2,58;100,00
DES;FFD Plasma;BB3;BB3;14,00;1971;0;0;1975;35000;#DIV/0!;17,72;0,00;2,50;0,00;-2,50;100,00
DES;FFD Plasma;BB4;BB4;324,10;43877;0;0;58498;842661;#DIV/0!;14,41;0,00;2,60;0,00;-2,60;100,00
DES;FFD Plasma;BB5;BB5;145,15;19235;0;0;29528;377390;#DIV/0!;12,78;0,00;2,60;0,00;-2,60;100,00
DES;FFD Plasma;JB1;JB1;521,80;68870;0;0;87827;1308404;#DIV/0!;14,90;0,00;2,51;0,00;-2,51;100,00
