Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
APR;BKB;BKB Plasma;SKB;SKB;321;43821;32778;469850;38334;517617;14,33;13,5;1,46;1,61;90,77;-0,15;9,23
APR;BKB;BKB Plasma;SKC;SKC;55;7285;3061;53400;2855;45858;17,45;16,06;0,97;0,83;116,45;0,14;-16,45
APR;BKB;BKB Plasma;SBB;SBB;1158,5;156587;36567;513760;52052;713024;14,05;13,7;0,44;0,62;72,05;-0,17;27,95
APR;BKB;BKB Plasma;SMM;SMM;982,75;130420;50546;601760;56438;690217;11,91;12,23;0,61;0,7;87,18;-0,09;12,82
APR;BKB;BKB Plasma;TGS;TGS;416;54374;21230;250270;24329;281461;11,79;11,57;0,6;0,68;88,92;-0,07;11,08
APR;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;45719;551370;56972;637851;12,06;11,2;0,52;0,61;86,44;-0,08;13,56
APR;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;31804;568020;48517;820999;17,86;16,92;0,71;1,03;69,19;-0,32;30,81
APR;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;730;11750;1346;13935;16,1;10,36;0,4;0,48;84,32;-0,08;15,68
APR;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;4691;83890;6088;111276;17,88;18,28;0,75;1;75,39;-0,25;24,61
APR;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;18060;347770;28721;525577;19,26;18,3;0,7;1,06;66,17;-0,36;33,83
APR;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;138518;2254560;133525;1793498;16,28;13,43;1,34;1,07;125,71;0,27;-25,71
APR;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;135286;2489520;129639;1898926;18,4;14,65;1,43;1,09;131,1;0,34;-31,1
APR;FFD;FFD Plasma;BB1;BB1;612,27;80089;61222;1147780;58642;935045;18,75;15,94;1,87;1,53;122,75;0,35;-22,75
APR;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;3330;59100;3622;56675;17,75;15,65;1,48;1,42;104,28;0,06;-4,28
APR;FFD;FFD Plasma;BB2B;BB2-B;442;59052;36578;619020;37217;549460;16,92;14,76;1,4;1,24;112,66;0,16;-12,66
APR;FFD;FFD Plasma;BB3;BB3;14;1971;1980;39540;1530;27784;19,97;18,16;2,82;1,98;142,31;0,84;-42,31
APR;FFD;FFD Plasma;BB4;BB4;324,1;43877;37271;648440;33798;505561;17,4;14,96;2;1,56;128,26;0,44;-28,26
APR;FFD;FFD Plasma;BB5;BB5;145,15;19235;26795;413500;20962;275217;15,43;13,13;2,85;1,9;150,25;0,95;-50,25
APR;FFD;FFD Plasma;JB1;JB1;521,8;68870;31821;470580;34010;435898;14,79;12,82;0,9;0,84;107,96;0,07;-7,96
