Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
MAR;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;32219;557630;40200;680256;17,31;16,92;0,7;0,85;81,97;-0,15;18,03
MAR;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;549;8460;1115;11546;15,41;10,36;0,29;0,4;73,27;-0,11;26,73
MAR;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;3388;58532;5044;92200;17,28;18,28;0,53;0,83;63,48;-0,3;36,52
MAR;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;20208;389698;23797;435478;19,28;18,3;0,79;0,88;89,49;-0,09;10,51
MAR;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;83158;1303730;110635;1486041;15,68;13,43;0,78;0,89;87,73;-0,11;12,27
MAR;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;81071;1403680;107415;1573396;17,31;14,65;0,81;0,9;89,21;-0,1;10,79
MAR;FFD;FFD Plasma;BB1;BB1;612,27;80089;37959;692030;48589;774751;18,23;15,94;1,13;1,27;89,32;-0,14;10,68
MAR;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;2726;45480;3001;46959;16,68;15,65;1,14;1,18;96,85;-0,04;3,15
MAR;FFD;FFD Plasma;BB2B;BB2-B;442;59052;23088;370940;30837;455267;16,07;14,76;0,84;1,03;81,48;-0,19;18,52
MAR;FFD;FFD Plasma;BB3;BB3;14;1971;1129;22470;1268;23021;19,9;18,16;1,61;1,64;97,61;-0,04;2,39
MAR;FFD;FFD Plasma;BB4;BB4;324,1;43877;19608;322960;28004;418894;16,47;14,96;1;1,29;77,1;-0,3;22,9
MAR;FFD;FFD Plasma;BB5;BB5;145,15;19235;14087;219270;17369;228037;15,57;13,13;1,51;1,57;96,16;-0,06;3,84
MAR;FFD;FFD Plasma;JB1;JB1;521,8;68870;27720;361730;28180;361173;13,05;12,82;0,69;0,69;100,15;0;-0,15
MAR;FFD;FFD Plasma;JB2;JB2;265,82;38182;14770;235090;19199;290651;15,92;15,14;0,88;1,09;80,88;-0,21;19,12
MAR;FFD;FFD Plasma;JB3;JB3;277,6;38497;19539;301280;22602;316704;15,42;14,01;1,09;1,14;95,13;-0,06;4,87
MAR;FFD;FFD Plasma;SR;SR;199,9;27072;9984;178410;14277;222309;17,87;15,57;0,89;1,11;80,25;-0,22;19,75
APR;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;126734;2316640;112421;1834020;18,28;16,31;1,6;1,26;126,31;0,33;-26,31
APR;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;141891;2467640;128110;2032704;17,39;15,87;1,65;1,36;121,4;0,29;-21,4
APR;BKB;SC Inti;SC Inti;AFD6;393,6;51701;28758;467130;31664;420065;16,24;13,27;1,19;1,07;111,2;0,12;-11,2
APR;BKB;Setarap;Setarap;AFD-8;388,2;51154;64142;937660;57585;774146;14,62;13,44;2,42;1,99;121,12;0,42;-21,12
APR;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;29167;450360;22733;309485;15,44;13,61;2,29;1,58;145,52;0,72;-45,52
APR;BKB;BKB Plasma;SK1;SK1;187,5;24615;9958;141710;10211;140190;14,23;13,73;0,76;0,75;101,08;0,01;-1,08
APR;BKB;BKB Plasma;SK2;SK2;158;20822;9332;167820;10251;179212;17,98;17,48;1,06;1,13;93,64;-0,07;6,36
APR;BKB;BKB Plasma;SKA;SKA;233;30330;18762;330500;18546;307405;17,62;16,58;1,42;1,32;107,51;0,1;-7,51
